ID,ParentID,Name,top,columns,sort_order,Image,date_added,date_modified,language_id,seo_keyword,description,meta_description,meta_keywords,store_ids,layout,Status
542,50,Raštuotos juostelės,,,,,,,,Raštuotos juostelės,,,,,,TRUE
213,518,Popierinė Rafija,,,,data/Juosteles/Raffia.jpg,,,,Popierinė Rafija,,,,,,TRUE
49,302,Maišeliai,,,,/Pavavimo priemones/maiseliai.jpg,,,,Maišeliai,,,,,,TRUE
341,49,Dekoruoti maišeliai,,,,data/Maiseliai/torby-h-212-350.jpg,,,,Dekoruoti maišeliai,,,,,,TRUE
464,49,Dovanų maišeliai,,,,/Dezutes/Matelasse Nudo/Prabangus_maiseliai_.jpg,,,,Dovanų maišeliai,,,,,,TRUE
215,49,Maišeliai buteliams,,,,data/Maiseliai/222.jpg,,,,Maišeliai buteliams,,,,,,TRUE
214,49,Medžiaginiai/medvilniniai maišeliai,,,,/Pavavimo priemones/Medziaginiai maiseliai/maišeliai.jpg,,,,Medžiaginiai/medvilniniai maišeliai,,,,,,TRUE
446,49,Pigūs dovanų maišeliai (asorti po 20 vnt.),,,,data/Maiseliai/SAM_4748.JPG,,,,Pigūs dovanų maišeliai (asorti po 20 vnt.),,,,,,TRUE
374,49,Vienspalviai maišeliai,,,,data/Maiseliai/makeThumb.jpg,,,,Vienspalviai maišeliai,,,,,,TRUE
389,302,Minkštas Tissue popierius,,,,/Pavavimo priemones/tissue2.jpg,,,,Minkštas Tissue popierius,,,,,,TRUE
390,302,Popierinės ir medinės drožlės,,,,/Pavavimo priemones/drozles2.jpg,,,,Popierinės ir medinės drožlės,,,,,,TRUE
298,302,Skaidri plėvelė,,,,/Pavavimo priemones/skaidri plev.jpg,,,,Skaidri plėvelė,,,,,,TRUE
238,0,Velykos 2014,,,,data/Velykos Easter 2012.jpg,,,,Velykos 2014,,,,,,TRUE
17,0,Vestuvės,,,,data/Classic virselis2016.jpg,,,,Vestuvės,,,,,,TRUE
519,0,Vokai ir popierius,,,,/Vokai/CC C6.jpg,,,,Vokai ir popierius,,,,,,TRUE
533,519,Popierius,,,,/Vokai/lapas cc.jpg,,,,Popierius,,,,,,TRUE
517,519,Vokai,,,,/Vokai/CC C6.jpg,,,,Vokai,,,,,,TRUE
536,517,B6 formato vokai,,,,,,,,B6 formato vokai,,,,,,TRUE
529,517,C5 formato vokai,,,,/Vokai/Filtras/a5.jpg,,,,C5 formato vokai,,,,,,TRUE
530,517,C6 formato vokai,,,,/Vokai/Filtras/a6.jpg,,,,C6 formato vokai,,,,,,TRUE
528,517,C7 formato vokai,,,,/Vokai/Filtras/a7.jpg,,,,C7 formato vokai,,,,,,TRUE
531,517,DL formato vokai,,,,/Vokai/Filtras/ld.jpg,,,,DL formato vokai,,,,,,TRUE
532,517,K4 formato vokai,,,,/Vokai/Filtras/4k.jpg,,,,K4 formato vokai,,,,,,TRUE
